FIA plot code,Starting stand age,Eco-subregion,Site index,Slope (%),Elevation (meters),Aspect (degrees),Percent conifer (%BA),Basal area (m2/ha),SDI,Trees per hectare,QMD (cm),MAI (m3 ha−1 yr−1),Number of strata,Canopy height (m),Percent canopy cover
2320030702501505,94,M211Af,44,14,518,195,13,37.6,510,"10,843",6.6,2.6,1,18.6,80
2320030702502686,97,M211Af,42,12,427,235,21,31.5,444,"11,125",6.1,1.6,1,19.5,82
2320030900702261,86,M211Af,34,8,549,215,34,33.1,506,"17,423",4.8,1.8,1,19.2,76
2320030900703046,80,M211Ae,42,9,701,100,18,30.5,480,"18,318",4.6,2.2,1,17.4,73
2320030900703313,87,M211Ag,51,12,183,2,50,35.1,430,5997,8.6,2.5,1,17.1,80
2320030900703677,89,M211Af,81,10,488,140,1,26.2,384,"11,191",5.3,1.6,1,19.5,79
2320030901700110,84,M211Ag,37,14,366,22,62,42.2,604,"16,032",5.8,3.2,2,21.3,72
2320030901700852,81,M211Af,37,13,823,248,42,29.4,372,6005,7.9,1.9,1,16.2,59
2320030901701013,96,M211Ae,41,14,610,124,17,34.7,450,8058,7.4,2.4,1,18.6,69
2320030901702963,85,M211Ag,65,27,274,65,0,24.6,334,7117,6.6,1.8,2,21.3,78
3320050200300163,82,M211Ad,81,17,274,250,0,30.5,398,7122,7.4,2.9,1,24.4,78
3320050200700781,80,M211Af,62,5,549,60,22,28.7,355,5300,8.4,2.3,1,21.9,71
3320050200900018,85,M211Ba,83,12,579,343,0,26.6,395,"11,826",5.3,2.8,1,26.8,73
3320050200900904,97,M211Ad,49,3,427,0,34,32.6,454,"10,939",6.1,2.1,1,23.5,82
3620040303506767,81,M211Db,62,0,335,0,44,47.8,477,2894,14.5,4.6,1,23.2,86
3620040304303762,80,M211Dd,60,12,457,179,3,38.1,465,6440,8.6,3.5,1,24.4,82
3620040304303966,80,M211Dd,43,6,549,256,27,33.1,403,5545,8.6,2.4,1,21.3,85
3620040403101088,95,M211Df,46,16,640,85,18,29.8,437,"12,639",5.6,2.1,1,24.4,71
3620040403102007,92,M211Df,88,20,549,81,4,30.5,354,4040,9.9,2.5,1,25.9,76
3620040403102851,97,M211Df,35,18,335,148,37,35.1,413,4982,9.4,2.4,1,20.1,79
3620040403105127,100,M211Df,50,13,701,287,7,24.6,330,6808,6.9,1.5,1,20.1,66
3620040403105218,90,M211Df,57,33,305,137,57,33.5,443,8599,7.1,2.1,1,21.0,75
3620040404102413,82,M211Dd,47,0,640,0,15,48.0,525,4663,11.4,4.8,1,25.3,75
3620040404102456,86,M211Dd,60,12,671,12,15,29.6,362,5115,8.6,2.3,1,25.0,73
3620040404102703,90,M211Dd,62,18,579,327,57,26.2,345,6588,7.1,2.0,2,21.9,57
3620040404104669,91,M211Dd,41,22,732,306,20,29.2,363,5488,8.1,2.1,1,20.1,72
3620040404106138,86,M211Dd,60,12,579,12,27,38.3,480,7480,8.1,3.2,1,22.6,80
3620040411302486,80,M211De,88,12,488,166,0,44.3,506,5382,10.2,5.0,1,33.8,90
3620040411305029,100,M211De,48,14,518,169,51,25.5,357,8819,6.1,1.8,1,23.5,59
5020050200900479,91,M211Ae,37,11,396,276,44,38.8,507,9160,7.4,3.0,2,21.3,81
5020050201701120,85,M211Ba,64,27,671,235,0,29.6,400,828,6.9,2.4,1,22.9,80
5020050202300275,81,M211Ca,89,47,183,10,0,23.0,261,2743,10.4,2.9,2,27.4,59
