Structural retention,Harvesting frequency,
Empty Cell,High (15 years),Low (30 years)
Empty Cell,ITS_LowHigh,ITS_LowLow
Low,q-factora: 1.3,q-factora: 1.3
,Residual basal area: 15 m2/ha,Residual basal area: 15 m2/ha
,Min DBH class: 5 cm,Min DBH class: 5 cm
,Max DBH class: 50 cm,Max DBH class: 50 cm
,DBH class width: 5 cm,DBH class width: 5 cm
,Number of legacy trees/hab: 0,Number of legacy trees/hab: 0
,Slash left on site,Slash left on site
Structural retention,Harvesting frequency,
Empty Cell,High (15 years),Low (30 years)
Empty Cell,ITS_HighHigh,ITS_HighLow
High,q-factora: 1.3,q-factora: 1.3
,Residual basal area: 19 m2/ha,Residual basal area: 19 m2/ha
,Min DBH class: 5 cm,Min DBH class: 5 cm
,Max DBH class: 61 cm,Max DBH class: 61 cm
,DBH class width: 5 cm,DBH class width: 5 cm
,Number of legacy trees/hab: 12,Number of legacy trees/ha: 12b
,Average diameter of legacy tree: 41 cm,Average diameter of legacy tree: 41 cm
,Slash left on site,Slash left on site
