FIA plot code,STAND_ID_PLOT,STAND_ID_COND,NUM_PLOTS,NUM_CONDS,NUM_COND_PLOTS
2320030901700110,0023199905010901700110,00231999050109017001101,1,1,1
2320030702501505,0023200105030702501505,00232001050307025015051,1,1,1
2320030901700852,0023200105030901700852,00232001050309017008521,1,1,1
2320030901701013,0023200105030901701013,00232001050309017010131,1,1,1
2320030702502686,0023200205040702502686,00232002050407025026861,1,1,1
2320030900702261,0023200205040900702261,00232002050409007022611,1,1,1
2320030900703046,0023200305050900703046,00232003050509007030461,1,1,1
2320030900703313,0023200305050900703313,00232003050509007033131,1,1,1
2320030900703677,0023200305050900703677,00232003050509007036771,1,1,1
2320030901702963,0023200305050901702963,00232003050509017029631,1,1,1
3320050200300163,0033200206010200300163,00332002060102003001631,1,1,1
3320050200700781,0033200206010200700781,00332002060102007007811,1,1,1
3320050200900904,0033200206010200900904,00332002060102009009041,1,1,1
3320050200900018,0033200406030200900018,00332004060302009000181,1,1,1
3620040403101088,0036200205010403101088,00362002050104031010881,1,1,1
3620040403102851,0036200205010403102851,00362002050104031028511,1,1,1
3620040404102456,0036200205010404102456,00362002050104041024561,1,1,1
3620040404104669,0036200205010404104669,00362002050104041046691,1,1,1
3620040411302486,0036200205010411302486,00362002050104113024861,1,1,1
3620040303506767,0036200305020303506767,00362003050203035067671,1,1,1
3620040304303762,0036200305020304303762,00362003050203043037621,1,1,1
3620040304303966,0036200305020304303966,00362003050203043039661,1,1,1
3620040403102007,0036200305020403102007,00362003050204031020071,1,1,1
3620040403105127,0036200305020403105127,00362003050204031051271,1,1,1
3620040403105218,0036200305020403105218,00362003050204031052181,1,1,1
3620040404102413,0036200305020404102413,00362003050204041024131,1,1,1
3620040404102703,0036200305020404102703,00362003050204041027031,1,1,1
3620040404106138,0036200305020404106138,00362003050204041061381,1,1,1
3620040411305029,0036200305020411305029,00362003050204113050291,1,1,1
5020050201701120,0050200406020201701120,00502004060202017011201,1,1,1
5020050202300275,0050200406020202300275,00502004060202023002751,1,1,1
5020050200900479,0050200506030200900479,00502005060302009004791,1,1,1
