"FIA plot code",STAND_ID,UNITCD,STATECD,COUNTYCD,PLOT,"NK Year",INVYR,CYCLE,SUBCYCLE,CONDID,"Starting stand age",STDAGE,FLDAGE,"Slope (%)",SLOPE,"Aspect (degrees)",ASPECT,"Basal area (m2/ha)",BALIVE_METRIC
2320030702501505,00232001050307025015051,07,23,025,01505,2003,2001,5,3,1,94,94.0,94.0,14,14.0,195,195.0,37.6,37.5626687100616
2320030702502686,00232002050407025026861,07,23,025,02686,2003,2002,5,4,1,97,97.0,97.0,12,12.0,235,235.0,31.5,31.3592792525563
2320030900702261,00232002050409007022611,09,23,007,02261,2003,2002,5,4,1,86,86.0,86.0,8,8.0,215,215.0,33.1,33.0841392440065
2320030900703046,00232003050509007030461,09,23,007,03046,2003,2003,5,5,1,80,80.0,80.0,9,9.0,100,100.0,30.5,30.5304235928597
2320030900703313,00232003050509007033131,09,23,007,03313,2003,2003,5,5,1,87,87.0,87.0,12,12.0,2,2.0,35.1,35.1239207682005
2320030900703677,00232003050509007036771,09,23,007,03677,2003,2003,5,5,1,89,89.0,89.0,10,10.0,140,140.0,26.2,26.1222108387738
2320030901700110,00231999050109017001101,09,23,017,00110,2003,1999,5,1,1,84,84.0,84.0,14,14.0,22,22.0,42.2,41.9753580422846
2320030901700852,00232001050309017008521,09,23,017,00852,2003,2001,5,3,1,81,81.0,81.0,13,13.0,248,248.0,29.4,29.2927300867833
2320030901701013,00232001050309017010131,09,23,017,01013,2003,2001,5,3,1,96,96.0,96.0,14,14.0,124,124.0,34.7,34.4816810247945
2320030901702963,00232003050509017029631,09,23,017,02963,2003,2003,5,5,1,85,85.0,85.0,27,27.0,65,65.0,24.6,24.5319466299798
3320050200300163,00332002060102003001631,02,33,003,00163,2005,2002,6,1,1,82,82.0,82.0,17,17.0,250,250.0,30.5,30.531938742383
3320050200700781,00332002060102007007811,02,33,007,00781,2005,2002,6,1,1,80,80.0,80.0,5,5.0,60,60.0,28.7,28.5528320695552
3320050200900018,00332004060302009000181,02,33,009,00018,2005,2004,6,3,1,85,85.0,85.0,12,12.0,343,343.0,26.6,26.6801531723361
3320050200900904,00332002060102009009041,02,33,009,00904,2005,2002,6,1,1,97,97.0,97.0,3,0.0,0,0.0,32.6,32.423970231241
3620040303506767,00362003050203035067671,03,36,035,06767,2004,2003,5,2,1,81,81.0,81.0,0,0.0,0,0.0,47.8,46.815273626466
3620040304303762,00362003050203043037621,03,36,043,03762,2004,2003,5,2,1,80,80.0,80.0,12,12.0,179,179.0,38.1,38.0558498799069
3620040304303966,00362003050203043039661,03,36,043,03966,2004,2003,5,2,1,80,80.0,80.0,6,6.0,256,256.0,33.1,50.1437586906886
3620040403101088,00362002050104031010881,04,36,031,01088,2004,2002,5,1,1,95,95.0,95.0,16,16.0,85,85.0,29.8,29.5084322825598
3620040403102007,00362003050204031020071,04,36,031,02007,2004,2003,5,2,1,92,92.0,92.0,20,20.0,81,81.0,30.5,30.1199098992799
3620040403102851,00362002050104031028511,04,36,031,02851,2004,2002,5,1,1,97,97.0,97.0,18,18.0,148,148.0,35.1,34.6423327878899
3620040403105127,00362003050204031051271,04,36,031,05127,2004,2003,5,2,1,100,100.0,100.0,13,13.0,287,287.0,24.6,24.1945274224955
3620040403105218,00362003050204031052181,04,36,031,05218,2004,2003,5,2,1,90,90.0,90.0,33,33.0,137,137.0,33.5,33.0471328647396
3620040404102413,00362003050204041024131,04,36,041,02413,2004,2003,5,2,1,82,82.0,82.0,0,0.0,0,0.0,48.0,47.393854133081
3620040404102456,00362002050104041024561,04,36,041,02456,2004,2002,5,1,1,86,86.0,86.0,12,12.0,12,12.0,29.6,29.1738138060126
3620040404102703,00362003050204041027031,04,36,041,02703,2004,2003,5,2,1,90,90.0,90.0,18,18.0,327,327.0,26.2,25.7503334580391
3620040404104669,00362002050104041046691,04,36,041,04669,2004,2002,5,1,1,91,91.0,91.0,22,22.0,306,306.0,29.2,28.7291862913469
3620040404106138,00362003050204041061381,04,36,041,06138,2004,2003,5,2,1,86,86.0,86.0,12,12.0,12,12.0,38.3,37.7622552245445
3620040411302486,00362002050104113024861,04,36,113,02486,2004,2002,5,1,1,80,80.0,80.0,12,12.0,166,166.0,44.3,44.2496204336201
3620040411305029,00362003050204113050291,04,36,113,05029,2004,2003,5,2,1,100,100.0,100.0,14,14.0,169,169.0,25.5,25.3431944156704
5020050200900479,00502005060302009004791,02,50,009,00479,2005,2005,6,3,1,91,91.0,91.0,11,11.0,276,276.0,38.8,38.8517625158765
5020050201701120,00502004060202017011201,02,50,017,01120,2005,2004,6,2,1,85,85.0,85.0,27,27.0,235,235.0,29.6,29.6665817532606
5020050202300275,00502004060202023002751,02,50,023,00275,2005,2004,6,2,1,81,81.0,81.0,47,47.0,10,10.0,23.0,22.8334640143222
