Year,Total_Carbon,Aboveground_Carbon,Aboveground_Live,NK_Fig2_NoManagement
2005,162.79227447509766,123.18416856374824,106.88872623443604,117
2015,187.4557466506958,143.06717507354915,124.88858318328857,127
2025,214.41746473312378,164.68498877435923,134.65527963638306,135
2035,230.89989805221558,177.44448463618755,141.90237665176392,142
2045,241.8281807899475,185.65196406841278,148.67249011993408,147
2055,250.78231859207153,192.44641283154488,154.3222632408142,152
2065,258.3482618331909,198.30955412983894,159.1534481048584,156
2075,264.77718687057495,203.3786676824093,163.24752712249756,159
2085,270.2559962272644,207.74661177396774,166.8958444595337,162
2095,274.86938667297363,211.42793408036232,170.3484582901001,165
2105,278.9841585159302,214.71195659041405,173.55427312850952,168
2115,282.7547206878662,217.7211542725563,176.50092601776123,170
2125,286.18342685699463,220.44405499100685,179.27073574066162,172
2135,289.3841209411621,222.966185182333,181.83354139328003,174
2145,292.33018016815186,225.26795300841331,184.2138910293579,177
2155,295.05518436431885,227.36770722270012,186.50050020217896,178
2165,297.5658493041992,229.26641449332237,188.57751750946045,176
