Management scenario,Values (mean ± 95% CI),,,
Empty Cell,Harvesting frequency (years),U1 Forest C uptake rate per harvesting cycle (Mg C ha−1 yr−1),U2 Forest C uptake rate for 160 year simulation period (Mg C ha−1 yr−1),U3 Forest and harvested wood products C uptake rate for 160 year simulation period (Mg C ha−1 yr−1)
Clearcut_High,80,0.55 ± 0.05,0.23 ± 0.03,0.23 ± 0.05
Clearcut_Low,120,0.44 ± 0.05,0.02 ± 0.03,0.08 ± 0.05
Shelterwood_High,80,0.18 ± 0.05,0.13 ± 0.02,0.13 ± 0.03
Shelterwood_Low,120,0.17 ± 0.04,−0.02 ± 0.02,0.02 ± 0.03
ITS_LowHigh,15,−0.02 ± 0.02,−0.04 ± 0.01,0.07 ± 0.03
ITS_LowLow,30,−0.01 ± 0.02,−0.04 ± 0.01,0.08 ± 0.03
ITS_HighHigh,15,0.04 ± 0.03,0.02 ± 0.02,0.14 ± 0.09
ITS_HighLow,30,0.05 ± 0.02,0.02 ± 0.02,0.14 ± 0.09
No Management,NA,0.36 ± 0.04,0.36 ± 0.04,NA
